PartName,PartNumber,PartSpec,AvgOfSumOfAdjQty1,QtyABC,ValueABC,VendorCode
SMT IC REG LINEAR 1.2V 100MA SOT23-5,1-75-76912-00001H,TPS76912DBVT Texas Instrument,21754,B,B,VI012
SMT IC REG LDO ADJ (19-005-0057),1-75-73101-00001H,SOT23-5 TPS73101DBVR TI RoHS,17494,B,B,VD044
SMT IC REG BUCK SYNC ADJ 0.6A SOT23,1-75-00440-00001H,FT440AA Fremont Micro Devices RoHS,20000,B,B,VD044
SMT IC REG BUCK 3.3V 1.2A SYNC 8WSON,1-75-62082-00001H,TPS62082DSGR TI RoHS,10167,B,B,VI012
SMT IC REG BUCK 1.8V 0.6A SYNC 6USON,1-75-M3671-00002H,LM3671LC-1.8/NOPB TI RoHS,10073,B,B,VD044
SMT IC REG BUCK 1.2V 0.6A SYNC 6USON,1-75-M3671-00001H,LM3671LC-1.2/NOPB TI RoHS,10167,B,B,VE201
SMT IC QUAD DIFF COMPARATOR 14-TSSOP,1-75-LM339-00002H,LM339PWR TI RoHS,29731,B,B,VD044
SMT IC Quad AND Gate,1-75-07408-00006H,QFN-14 74LCX08BQX Fairchild LF,17516,B,B,VD083
SMT IC PWP_28,1-75-31132-00001H,TPA3113D2PWPR TI/MPS #MP7751GF-Z RoHS,9656,B,B,VA007
SMT IC PSOP5,1-75-331M5-00001H,LMV331M5/NOPB TI RoHS,14630,B,B,VD044
SMT IC Power Switch 1.5A-2.1A  SOT25 (19-003-0282),1-75-P2181-00001H,AP2181WG-7 Diodes RoHS,29742,B,B,VE074
SMT IC P-CH  FET 6-TSOP,1-75-05703-00001H,FDC654P FAIRCHILD/IRLMS5703TRPBF International Rectifier,16070,B,B,VD044
SMT IC OP-AMP GP800KHZ SOT-23-5,1-75-TS321-00002H,TS321ILT,37012,B,B,VE074
SMT IC MPU RESET MON 2.93V SOT-23,1-75-00809-00005H,MAX809SN293D2T1G ON Semi,10010,B,B,VD044
SMT IC Logic MUX 8:1 3.3V SO16 (19-003-0244),1-75-V3251-00001H,SN74CBTLV3251DR TI RoHS,12387,B,B,VI012
SMT IC Logic Buffer Quad 3-State SO14,1-75-LV125-00001H,SN74LV125ADR TI RoHS (19-003-0256),22304,B,B,VE074
SMT IC ISOLATOR 3.75KVRMS (11-002-0010),1-75-6N139-00002H,1CH OPEN 8-SMD 6N139-500E Avago RoHS,9765,B,B,VA007
*SMT CAP 22uF 16V LF,1-78-22611-07A1UH,1210 X5R EMK325BJ226KM-T TAIYO,27400,B,B,VD044
"SMT IC flash memory 1Mbit/128kbyte, 8-contact USON 2x3mm",1-75-25010-00001H,IS25LQ010B-JULE-TR ISSI RoHS,10073,B,B,VA007
SMT IC FLASH 4MBIT 8SOIC (19-004-0077),1-75-25040-00005H,IS25LQ040B-JNLE ISSI RoHS,14936,B,B,VA007
SMT IC EEPROM SO8 (19-004-0048),1-75-02464-00002H,MICROCHIP 24LC64-I/SN RoHS,14967,B,B,VG262
SMT IC DUAL LV OFFSET MICRO-8,1-75-LM393-00007H,LM393DMR2G ON RoHS,40740,B,B,VD044
SMT IC CAN TRANSEIVER HS 8SOIC,1-75-01051-00002H,"TJA1051T/E,118 NXP RoHS",9740,B,B,VL070
SMT IC BUS SWITCH SGL SPST 6MICROPAK,1-75-76606-00001H,NC7SZ66L6X Fairchild RoHS,20000,B,B,VD044
SMT IC BUS BUFF TRI-ST QD 14SOICN,1-75-74126-00005H,SN74LVC126AD TI RoHS,19381,B,B,VD044
SMT IC BUFFER GATE SGL CMOS SC70-5,1-75-74125-00019H,SN74LV1T125DCKR TI RoHS,44720,B,B,VI012
SMT IC BUFF DVR TRI-ST DL 8TSSOP,1-75-2G125-00001H,"74HCT2G125DP,125 NXP RoHS",12450,B,B,VA007
SMT IC BUCK TDFN-6 V0 HF,A1-75-G5691-IW001H,G5691RB1U GMT RoHS 愛微科專用,12070,B,B,VC083
SMT IC 8SOIC,1-75-M2421-00001H,PAM2421AECADJR Diodes RoHS,12500,B,B,VD044
SMT IC 16-BIT SOIC24,1-75-MCS16-00001H,PCA9535D PHILLIPS RoHS,9000,B,B,VA007
SMT CAP PPS Film 16V 100nF (18-017-0159),1-78-10435-00352H,0805 20% ECPU1C104MA5 Panasonic RoHS (NAIM 用),18270,B,B,VD044
SMT CAP PPS 6N8F 50V (18-017-0032),1-78-68244-0121PH,2% 1206 ECHU1H682GX5 松下 RoHS (NAIM 用),18150,B,B,VT167
SMT CAP PPS 470P 50V (18-017-0050),1-78-47144-0111PH,2% 0805 ECHU1H471GX5 松下 RoHS (NAIM 用),23258,B,B,VM041
SMT CAP PPS 220P 50V (18-017-0073),1-78-22144-0111PH,2% 0805 ECHU1H221GX5 松下 RoHS (NAIM 用),18150,B,B,VD044
SMT CAP FILM 10nF 50VDC (18-017-0038),1-78-10334-00A21H,1206 5% ECHU1H103JX5 Panasonic (NAIM 用),40731,B,B,VD044
SMT CAP CER 6800PF 50V C0G,1-78-68224-002B3H,0603 ±5% M0603N682J050TAX RoHS,32055,B,B,VL106
SMT CAP CER 47UF 10V X5R 0805 20%,1-78-47613-00711H,Taiyo Yuden LMK212BBJ476MG-T/Murata GRM21BR61A476ME15,12200,B,B,VD066
SMT CAP CER 22uF 35V X5R,1-78-22615-00231H,0805 20% C2012X5R1V226MT TDK (MCS用),9000,B,B,VF060
SMT CAP CER 22UF 10V X5R,1-78-22613-007B2H,0603 20% M0603B226M010UDX UWA RoHS,15000,B,B,VD044
SMT CAP CER 1500PF 2KV X7R,1-78-1522C-00001H,1808 10% CC1808KKX7RDBB152 Yageo RoHS,19401,B,B,VD044
SMT CAP 47UF 16V X5R,1-78-47621-00731H,1210 10% GRM32ER61C476KE15K /GRM32ER61C476KE15L Murata RoHS,35000,B,B,VD044
SMT CAP 47uF 10V X7R 10%,1-78-47623-002A1H,1210 GRM32ER71A476KE15L MURATA RoHS,16020,B,B,VI012
SMT CAP 47uF 10V 20% X5R,1-78-47616-0721TH,1206 LMK316BJ476ML-T TAIYO RoHS,9600,B,B,VD044
SMT CAP 47uF 10V 20% X5R,1-78-47615-00711H,0805 GRM21BR61A476ME15L Murata,29246,B,B,VD044
SMT CAP 4.7uF 50V,1-78-47524-00522H,1206 X5R UMK316BJ475KL RoHS,22500,B,B,VD044
SMT CAP 33UF 10V,1-78-33521-00211H,0805 20% X5R C2012X5R1A336M125AC TDK,12000,B,B,VD044
SMT CAP 33PF 100V LF (18-017-0127),1-78-33055-001B1H,0603 1% NPO 06031A330FAT2A AVX (NAIM 用),29431,B,B,VL070
SMT CAP 270pF 50V (18-017-0152),1-78-27134-00211H,0805 2% ECHU1H271GX5 Panasonic LF (NAIM 用),13377,B,B,VD044
SMT CAP 22uF 25V X5R,1-78-22610-00232H,1206 10% M1206B226K025WLX UWA RoHS,20450,B,B,VD044
SMT CAP 22uF 16V X6S,1-78-22611-008D1H,1210 20% GRM32NC81C226KE15L Murata RoHS,10088,B,B,VG282
SMT CAP 2.2uF 50V,1-78-22524-00232H,1210 10% X7R LF,33475,B,B,VD044
SMT CAP 2% 100pF (18-017-0096),1-78-10134-00111H,0805 50V ECHU1H101GX5 Panasonic RoHS (NAIM 用),29024,B,B,VD044
SMT CAP 10UF 63V X7R,1-78-10615-00231H,1210 20% GRM32ER71J106MA12L Murata,9542,B,B,VG282
SMT CAP 10UF 35V X7R (18-017-0165),1-78-1062B-00231H,1210 ±10% GRM32ER7YA106KA12L MuRata RoHS (NAIM 用),36151,B,B,VD044
SMT CAP 10UF 35V X5R 0805,1-78-1062B-00212H,C2012X5R1V106KT TDK RoHS,14000,B,B,VF060
SMT CAP 10UF 35V X5R 0805,1-78-1062B-00211H,M0805B106K035UGX UWA RoHS,41584,B,B,VD014
SMT CAP 10nF 1000V X7R,1-78-1032H-002A1H,1210 10% MH1210X103K102UGX RoHS,40500,B,B,VL106
SMT CAP 100uF X5R 10V,1-78-10713-00731H,1210 20% M1210B107M010XMX RoHS,28190,B,B,VD044
+SMT IC  Authentication USON8 (19-004-0111),1-75-S3959-00001H,MFI337S3959 Apple RoHS,14891,B,B,VN001
