通路,訂單編號,訂單成立日,實際出貨日,商品名稱,SKU,商品廠商編號,單價,數量,小計
PChome,20210520537838-02,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520537838-03,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520485181-07,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,77,1,77
PChome,20210520341491-03,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520993071-10,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,83,1,83
PChome,20210520062686-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520471047-01,2021/5/30,2021/5/30,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520471047-02,2021/5/30,2021/5/30,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520081794-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,2,146
PChome,20210520391779-03,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520937034-09,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520937034-10,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520212921-03,2021/5/31,2021/5/31,巧菲斯夾心酥(牛奶口味) -10入(246g),11210020,DBACFR-A9009U15T-000,72,1,72
PChome,20210520212921-04,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,68,1,68
PChome,20210520212921-05,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,66,1,66
PChome,20210520283509-04,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,1,75
PChome,20210520280730-05,2021/5/31,2021/5/31,77 綜合夾心酥_280g,11201004,DBACFR-A900BBW4Y-000,124,1,124
PChome,20210520280730-06,2021/5/31,2021/5/31,77 綜合夾心酥_280g,11201004,DBACFR-A900BBWDP-000,0,1,0
PChome,20210520837384-06,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520981299-05,2021/5/31,2021/5/31,77 mini新貴派巧克力-花生(294g),11207023,DBACFR-A90086DR1-000,147,1,147
PChome,20210520981299-06,2021/5/31,2021/5/31,77 新貴派 mini新貴派巧克力-花生(294g),11207023,DBACFR-A900BBWCD-000,0,1,0
PChome,20210520534403-03,2021/5/31,2021/5/31,本味誠現 牛奶餅(12入),11209049,DBACFR-A9009E1TH-000,59,1,59
PChome,20210520534403-08,2021/5/31,2021/5/31,新貴派大格酥芝麻豆奶324g,11207058,DBACFR-A900A5LG2-000,77,1,77
PChome,20210520339062-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520073806-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,2,146
PChome,20210520286341-04,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520286341-05,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520286341-06,2021/5/31,2021/5/31,本味誠現 蛋黃餅30入-(200g),11209016,DBACFR-A900AWO8X-000,83,1,83
PChome,20210520318448-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520827964-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520562910-10,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520840455-13,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,85,1,85
PChome,20210520840455-14,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,72,2,144
PChome,20210520104594-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520927080-15,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,1,75
PChome,20210520072517-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520129378-04,2021/5/31,2021/5/31,巧菲斯夾心酥(牛奶口味) -10入(246g),11210020,DBACFR-A9009U15T-000,72,1,72
PChome,20210520129378-05,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,72,1,72
PChome,20210520129378-06,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,68,1,68
PChome,20210520817418-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520833573-02,2021/5/31,2021/5/31,77大波露新台幣代可可脂巧克力 158g,11106022,DBACFR-A900AMX5L-000,52,2,104
PChome,20210520833573-10,2021/5/31,2021/5/31,77 蜜蘭諾黑巧酥(16入),11208026,DBACFR-A900771YW-000,59,3,177
PChome,20210520321741-04,2021/5/31,2021/5/31,77 巧克力醬250g,11301001,DBACFR-A9008339J-000,74,1,74
PChome,20210520856016-04,2021/5/31,2021/5/31,77 巧克力醬250g,11301001,DBACFR-A9008339J-000,74,1,74
PChome,20210520568478-16,2021/5/31,2021/5/31,77新貴派(抹茶)252g,11207065,DBACFR-A900AQNW3-000,72,1,72
PChome,20210520568478-17,2021/5/31,2021/5/31,77新貴派(檸檬)252g,11207067,DBACFR-A900AQNW2-000,72,1,72
PChome,20210520568478-18,2021/5/31,2021/5/31,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,34,1,34
PChome,20210520575824-05,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520456611-03,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,77,1,77
PChome,20210520456611-04,2021/5/31,2021/5/31,新貴派大格酥陽光檸檬324g,11207056,DBACFR-A900A5LFG-000,77,1,77
PChome,20210520926137-04,2021/5/31,2021/5/31,77 mini新貴派巧克力-花生(294g),11207023,DBACFR-A90086DR1-000,147,1,147
PChome,20210520926137-05,2021/5/31,2021/5/31,77 新貴派 mini新貴派巧克力-花生(294g),11207023,DBACFR-A900BBWCD-000,0,1,0
PChome,20210520573426-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520225617-04,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,85,2,170
PChome,20210520225617-05,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,66,1,66
PChome,20210520220568-12,2021/5/31,2021/5/31,77 蜜蘭諾黑巧酥(16入),11208026,DBACFR-A900771YW-000,68,1,68
PChome,20210520853621-09,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,85,1,85
